DATE,NIKKEI225
2017-01-04,19594.16
2017-01-05,19520.69
2017-01-06,19454.33
2017-01-09,.
2017-01-10,19301.44
2017-01-11,19364.67
2017-01-12,19134.70
2017-01-13,19287.28
2017-01-16,19095.24
2017-01-17,18813.53
2017-01-18,18894.37
2017-01-19,19072.25
2017-01-20,19137.91
2017-01-23,18891.03
2017-01-24,18787.99
2017-01-25,19057.50
2017-01-26,19402.39
2017-01-27,19467.40
2017-01-30,19368.85
2017-01-31,19041.34
2017-02-01,19148.08
2017-02-02,18914.58
2017-02-03,18918.20
2017-02-06,18976.71
2017-02-07,18910.78
2017-02-08,19007.60
2017-02-09,18907.67
2017-02-10,19378.93
2017-02-13,19459.15
2017-02-14,19238.98
2017-02-15,19437.98
2017-02-16,19347.53
2017-02-17,19234.62
2017-02-20,19251.08
2017-02-21,19381.44
2017-02-22,19379.87
2017-02-23,19371.46
2017-02-24,19283.54
2017-02-27,19107.47
2017-02-28,19118.99
2017-03-01,19393.54
2017-03-02,19564.80
2017-03-03,19469.17
2017-03-06,19379.14
2017-03-07,19344.15
2017-03-08,19254.03
2017-03-09,19318.58
2017-03-10,19604.61
2017-03-13,19633.75
2017-03-14,19609.50
2017-03-15,19577.38
2017-03-16,19590.14
2017-03-17,19521.59
2017-03-20,.
2017-03-21,19455.88
2017-03-22,19041.38
2017-03-23,19085.31
2017-03-24,19262.53
2017-03-27,18985.59
2017-03-28,19202.87
2017-03-29,19217.48
2017-03-30,19063.22
2017-03-31,18909.26
2017-04-03,18983.23
2017-04-04,18810.25
2017-04-05,18861.27
2017-04-06,18597.06
2017-04-07,18664.63
2017-04-10,18797.88
2017-04-11,18747.87
2017-04-12,18552.61
2017-04-13,18426.84
2017-04-14,18335.63
2017-04-17,18355.26
2017-04-18,18418.59
2017-04-19,18432.20
2017-04-20,18430.49
2017-04-21,18620.75
2017-04-24,18875.88
2017-04-25,19079.33
2017-04-26,19289.43
2017-04-27,19251.87
2017-04-28,19196.74
2017-05-01,19310.52
2017-05-02,19445.70
2017-05-03,.
2017-05-04,.
2017-05-05,.
2017-05-08,19895.70
2017-05-09,19843.00
2017-05-10,19900.09
2017-05-11,19961.55
2017-05-12,19883.90
2017-05-15,19869.85
2017-05-16,19919.82
2017-05-17,19814.88
2017-05-18,19553.86
2017-05-19,19590.76
2017-05-22,19678.28
2017-05-23,19613.28
2017-05-24,19742.98
2017-05-25,19813.13
2017-05-26,19686.84
2017-05-29,19682.57
2017-05-30,19677.85
2017-05-31,19650.57
2017-06-01,19860.03
2017-06-02,20177.28
2017-06-05,20170.82
2017-06-06,19979.90
2017-06-07,19984.62
2017-06-08,19909.26
2017-06-09,20013.26
2017-06-12,19908.58
2017-06-13,19898.75
2017-06-14,19883.52
2017-06-15,19831.82
2017-06-16,19943.26
2017-06-19,20067.75
2017-06-20,20230.41
2017-06-21,20138.79
2017-06-22,20110.51
2017-06-23,20132.67
2017-06-26,20153.35
2017-06-27,20225.09
2017-06-28,20130.41
2017-06-29,20220.30
2017-06-30,20033.43
2017-07-03,20055.80
2017-07-04,20032.35
2017-07-05,20081.63
2017-07-06,19994.06
2017-07-07,19929.09
2017-07-10,20080.98
2017-07-11,20195.48
2017-07-12,20098.38
2017-07-13,20099.81
2017-07-14,20118.86
2017-07-17,.
2017-07-18,19999.91
2017-07-19,20020.86
2017-07-20,20144.59
2017-07-21,20099.75
2017-07-24,19975.67
2017-07-25,19955.20
2017-07-26,20050.16
2017-07-27,20079.64
2017-07-28,19959.84
2017-07-31,19925.18
2017-08-01,19985.79
2017-08-02,20080.04
2017-08-03,20029.26
2017-08-04,19952.33
2017-08-07,20055.89
2017-08-08,19996.01
2017-08-09,19738.71
2017-08-10,19729.74
2017-08-11,.
2017-08-14,19537.10
2017-08-15,19753.31
2017-08-16,19729.28
2017-08-17,19702.63
2017-08-18,19470.41
2017-08-21,19393.13
2017-08-22,19383.84
2017-08-23,19434.64
2017-08-24,19353.77
2017-08-25,19452.61
2017-08-28,19449.90
2017-08-29,19362.55
2017-08-30,19506.54
2017-08-31,19646.24
2017-09-01,19691.47
2017-09-04,19508.25
2017-09-05,19385.81
2017-09-06,19357.97
2017-09-07,19396.52
2017-09-08,19274.82
2017-09-11,19545.77
2017-09-12,19776.62
2017-09-13,19865.82
2017-09-14,19807.44
2017-09-15,19909.50
2017-09-18,.
2017-09-19,20299.38
2017-09-20,20310.46
2017-09-21,20347.48
2017-09-22,20296.45
2017-09-25,20397.58
2017-09-26,20330.19
2017-09-27,20267.05
2017-09-28,20363.11
2017-09-29,20356.28
2017-10-02,20400.78
2017-10-03,20614.07
2017-10-04,20626.66
2017-10-05,20628.56
2017-10-06,20690.71
2017-10-09,.
2017-10-10,20823.51
2017-10-11,20881.27
2017-10-12,20954.72
2017-10-13,21155.18
2017-10-16,21255.56
2017-10-17,21336.12
2017-10-18,21363.05
2017-10-19,21448.52
2017-10-20,21457.64
2017-10-23,21696.65
2017-10-24,21805.17
2017-10-25,21707.62
2017-10-26,21739.78
2017-10-27,22008.45
2017-10-30,22011.67
2017-10-31,22011.61
2017-11-01,22420.08
2017-11-02,22539.12
2017-11-03,.
2017-11-06,22548.35
2017-11-07,22937.6
2017-11-08,22913.82
2017-11-09,22868.71
2017-11-10,22681.42
2017-11-13,22380.99
2017-11-14,22380.01
2017-11-15,22028.32
2017-11-16,22351.12
2017-11-17,22396.8
2017-11-20,22261.76
2017-11-21,22416.48
2017-11-22,22523.15
2017-11-23,.
2017-11-24,22550.85
2017-11-27,22495.99
2017-11-28,22486.24
2017-11-29,22597.2
2017-11-30,22724.96
2017-12-01,22819.03
2017-12-04,22707.16
2017-12-05,22622.38
2017-12-06,22177.04
2017-12-07,22498.03
2017-12-08,22811.08
2017-12-11,22938.73
2017-12-12,22866.17
2017-12-13,22758.07
2017-12-14,22694.45
2017-12-15,22553.22
2017-12-18,22901.77
2017-12-19,22868.0
2017-12-20,22891.72
2017-12-21,22866.1
2017-12-22,22902.76
2017-12-25,22939.18
2017-12-26,22892.69
2017-12-27,22911.21
2017-12-28,22783.98
2017-12-29,22764.94
2018-01-01,.
2018-01-02,.
2018-01-03,.
2018-01-04,23506.33
2018-01-05,23714.53
2018-01-08,.
2018-01-09,23849.99
2018-01-10,23788.2
2018-01-11,23710.43
2018-01-12,23653.82
2018-01-15,23714.88
2018-01-16,23951.81
2018-01-17,23868.34
2018-01-18,23763.37
2018-01-19,23808.06
2018-01-22,23816.33
2018-01-23,24124.15
2018-01-24,23940.78
2018-01-25,23669.49
2018-01-26,23631.88
2018-01-29,23629.34
2018-01-30,23291.97
2018-01-31,23098.29
2018-02-01,23486.11
2018-02-02,23274.53
2018-02-05,22682.08
2018-02-06,21610.24
2018-02-07,21645.37
2018-02-08,21890.86
2018-02-09,21382.62
2018-02-12,.
2018-02-13,21244.68
2018-02-14,21154.17
2018-02-15,21464.98
2018-02-16,21720.25
2018-02-19,22149.21
2018-02-20,21925.1
2018-02-21,21970.81
2018-02-22,21736.44
2018-02-23,21892.78
2018-02-26,22153.63
2018-02-27,22389.86
2018-02-28,22068.24
2018-03-01,21724.47
2018-03-02,21181.64
2018-03-05,21042.09
2018-03-06,21417.76
2018-03-07,21252.72
2018-03-08,21368.07
2018-03-09,21469.2
2018-03-12,21824.03
2018-03-13,21968.1
2018-03-14,21777.29
2018-03-15,21803.95
2018-03-16,21676.51
2018-03-19,21480.9
2018-03-20,21380.97
2018-03-21,.
2018-03-22,21591.99
2018-03-23,20617.86
