DATE,Sse
1/3/2017,3135.92
1/4/2017,3158.79
1/5/2017,3165.41
1/6/2017,3154.32
1/9/2017,3171.24
1/10/2017,3161.67
1/11/2017,3136.75
1/12/2017,3119.29
1/13/2017,3112.76
1/16/2017,3103.43
1/17/2017,3108.77
1/18/2017,3113.01
1/19/2017,3101.30
1/20/2017,3123.14
1/23/2017,3136.77
1/24/2017,3142.55
1/25/2017,3149.55
1/26/2017,3159.17
2/3/2017,3140.17
2/6/2017,3156.98
2/7/2017,3153.09
2/8/2017,3166.98
2/9/2017,3183.18
2/10/2017,3196.70
2/13/2017,3216.84
2/14/2017,3217.93
2/15/2017,3212.99
2/16/2017,3229.62
2/17/2017,3202.08
2/20/2017,3239.96
2/21/2017,3253.33
2/22/2017,3261.22
2/23/2017,3251.38
2/24/2017,3253.43
2/27/2017,3228.66
2/28/2017,3241.73
3/1/2017,3246.93
3/2/2017,3230.03
3/3/2017,3218.31
3/6/2017,3233.87
3/7/2017,3242.41
3/8/2017,3240.67
3/9/2017,3216.75
3/10/2017,3212.76
3/13/2017,3237.02
3/14/2017,3239.33
3/15/2017,3241.76
3/16/2017,3268.94
3/17/2017,3237.45
3/20/2017,3250.81
3/21/2017,3261.61
3/22/2017,3245.22
3/23/2017,3248.55
3/24/2017,3269.45
3/27/2017,3266.96
3/28/2017,3252.95
3/29/2017,3241.31
3/30/2017,3210.24
3/31/2017,3222.51
4/5/2017,3270.30
4/6/2017,3281.00
4/7/2017,3286.62
4/10/2017,3269.39
4/11/2017,3288.97
4/12/2017,3273.83
4/13/2017,3275.96
4/14/2017,3244.48
4/17/2017,3222.17
4/18/2017,3196.71
4/19/2017,3170.69
4/20/2017,3172.10
4/21/2017,3173.15
4/24/2017,3129.53
4/25/2017,3134.57
4/26/2017,3140.85
4/27/2017,3152.19
4/28/2017,3154.66
5/2/2017,3143.71
5/3/2017,3135.35
5/4/2017,3127.37
5/5/2017,3103.04
5/8/2017,3078.61
5/9/2017,3080.53
5/10/2017,3052.78
5/11/2017,3061.50
5/12/2017,3083.51
5/15/2017,3090.23
5/16/2017,3112.96
5/17/2017,3104.44
5/18/2017,3090.14
5/19/2017,3090.63
5/22/2017,3075.68
5/23/2017,3061.95
5/24/2017,3064.08
5/25/2017,3107.83
5/26/2017,3110.06
5/31/2017,3117.18
6/1/2017,3102.62
6/2/2017,3105.54
6/5/2017,3091.66
6/6/2017,3102.13
6/7/2017,3140.32
6/8/2017,3150.33
6/9/2017,3158.40
6/12/2017,3139.88
6/13/2017,3153.74
6/14/2017,3130.67
6/15/2017,3132.49
6/16/2017,3123.17
6/19/2017,3144.37
6/20/2017,3140.01
6/21/2017,3156.21
6/22/2017,3147.45
6/23/2017,3157.87
6/26/2017,3185.44
6/27/2017,3191.20
6/28/2017,3173.20
6/29/2017,3188.06
6/30/2017,3192.43
7/3/2017,3195.91
7/4/2017,3182.80
7/5/2017,3207.13
7/6/2017,3212.44
7/7/2017,3217.96
7/10/2017,3212.63
7/11/2017,3203.04
7/12/2017,3197.54
7/13/2017,3218.16
7/14/2017,3222.42
7/17/2017,3176.47
7/18/2017,3187.57
7/19/2017,3230.98
7/20/2017,3244.86
7/21/2017,3237.98
7/24/2017,3250.60
7/25/2017,3243.69
7/26/2017,3247.68
7/27/2017,3249.78
7/28/2017,3253.24
7/31/2017,3273.03
8/1/2017,3292.64
8/2/2017,3285.06
8/3/2017,3272.93
8/4/2017,3262.08
8/7/2017,3279.46
8/8/2017,3281.87
8/9/2017,3275.57
8/10/2017,3261.75
8/11/2017,3208.54
8/14/2017,3237.36
8/15/2017,3251.26
8/16/2017,3246.45
8/17/2017,3268.43
8/18/2017,3268.72
8/21/2017,3286.91
8/22/2017,3290.23
8/23/2017,3287.71
8/24/2017,3271.51
8/25/2017,3331.52
8/28/2017,3362.65
8/29/2017,3365.23
8/30/2017,3363.63
8/31/2017,3360.81
9/1/2017,3367.12
9/4/2017,3379.84
9/5/2017,3384.32
9/6/2017,3385.39
9/7/2017,3365.50
9/8/2017,3365.24
9/11/2017,3376.42
9/12/2017,3379.49
9/13/2017,3384.15
9/14/2017,3371.43
9/15/2017,3353.62
9/18/2017,3362.86
9/19/2017,3356.84
9/20/2017,3366.00
9/21/2017,3357.81
9/22/2017,3352.53
9/25/2017,3341.55
9/26/2017,3343.58
9/27/2017,3345.27
9/28/2017,3339.64
9/29/2017,3348.94
10/9/2017,3374.38
10/10/2017,3382.99
10/11/2017,3388.28
10/12/2017,3386.10
10/13/2017,3390.52
10/16/2017,3378.47
10/17/2017,3372.04
10/18/2017,3381.79
10/19/2017,3370.17
10/20/2017,3378.65
10/23/2017,3380.70
10/24/2017,3388.25
10/25/2017,3396.90
10/26/2017,3407.57
10/27/2017,3416.81
10/30/2017,3390.34
10/31/2017,3393.34
11/1/2017,3395.91
11/2/2017,3383.31
11/3/2017,3371.74
11/6/2017,3388.17
11/7/2017,3413.57
11/8/2017,3415.46
11/9/2017,3427.79
11/10/2017,3432.67
11/13/2017,3447.84
11/14/2017,3429.55
11/15/2017,3402.52
11/16/2017,3399.25
11/17/2017,3382.91
11/20/2017,3392.40
11/21/2017,3410.50
11/22/2017,3430.46
11/23/2017,3352.99
11/24/2017,3353.82
11/27/2017,3322.23
11/28/2017,3333.66
11/29/2017,3337.86
11/30/2017,3317.19
12/1/2017,3317.62
12/4/2017,3309.62
12/5/2017,3303.68
12/6/2017,3293.97
12/7/2017,3272.05
12/8/2017,3289.99
12/11/2017,3322.20
12/12/2017,3280.81
12/13/2017,3303.04
12/14/2017,3292.44
12/15/2017,3266.14
12/18/2017,3267.92
12/19/2017,3296.54
12/20/2017,3287.61
12/21/2017,3300.06
12/22/2017,3297.06
12/25/2017,3280.84
12/26/2017,3306.13
12/27/2017,3275.78
12/28/2017,3296.39
12/29/2017,3307.17
1/2/2018,3348.33
1/3/2018,3369.11
1/4/2018,3385.71
1/5/2018,3391.75
1/8/2018,3409.48
1/9/2018,3413.90
1/10/2018,3421.83
1/11/2018,3425.34
1/12/2018,3428.94
1/15/2018,3410.49
1/16/2018,3436.59
1/17/2018,3444.67
1/18/2018,3474.75
1/19/2018,3487.86
1/22/2018,3501.36
1/23/2018,3546.50
1/24/2018,3559.47
1/25/2018,3548.31
1/26/2018,3558.13
1/29/2018,3523.00
1/30/2018,3488.01
1/31/2018,3480.83
2/1/2018,3446.98
2/2/2018,3462.08
2/5/2018,3487.50
2/6/2018,3370.65
2/7/2018,3309.26
2/8/2018,3262.05
2/9/2018,3129.85
2/12/2018,3154.13
2/13/2018,3184.96
2/14/2018,3199.16
2/22/2018,3268.56
2/23/2018,3289.02
2/26/2018,3329.57
2/27/2018,3292.07
2/28/2018,3259.41
3/1/2018,3273.75
3/2/2018,3254.53
3/5/2018,3256.93
3/6/2018,3289.64
3/7/2018,3271.67
3/8/2018,3288.41
3/9/2018,3307.17
3/12/2018,3326.70
3/13/2018,3310.24
3/14/2018,3291.38
3/15/2018,3291.11
3/16/2018,3269.88
3/19/2018,3279.25
3/20/2018,3290.64
3/21/2018,3280.95
3/22/2018,3263.48
3/23/2018,3152.76
3/26/2018,3133.72
3/27/2018,3166.65
3/28/2018,3122.29
3/29/2018,3160.53
3/30/2018,3169.02
