DATE,RATE
1/1/2017,0.81
1/2/2017,0.81
1/3/2017,0.82
1/4/2017,0.81
1/5/2017,0.81
1/6/2017,0.81
1/7/2017,0.81
1/8/2017,0.81
1/9/2017,0.82
1/10/2017,0.82
1/11/2017,0.82
1/12/2017,0.82
1/13/2017,0.82
1/14/2017,0.82
1/15/2017,0.82
1/16/2017,0.83
1/17/2017,0.81
1/18/2017,0.81
1/19/2017,0.81
1/20/2017,0.81
1/21/2017,0.81
1/22/2017,0.81
1/23/2017,0.8
1/24/2017,0.8
1/25/2017,0.79
1/26/2017,0.8
1/27/2017,0.8
1/28/2017,0.8
1/29/2017,0.8
1/30/2017,0.8
1/31/2017,0.8
2/1/2017,0.79
2/2/2017,0.8
2/3/2017,0.8
2/4/2017,0.8
2/5/2017,0.8
2/6/2017,0.8
2/7/2017,0.8
2/8/2017,0.8
2/9/2017,0.8
2/10/2017,0.8
2/11/2017,0.8
2/12/2017,0.8
2/13/2017,0.8
2/14/2017,0.8
2/15/2017,0.8
2/16/2017,0.8
2/17/2017,0.81
2/18/2017,0.81
2/19/2017,0.81
2/20/2017,0.8
2/21/2017,0.8
2/22/2017,0.8
2/23/2017,0.8
2/24/2017,0.8
2/25/2017,0.8
2/26/2017,0.8
2/27/2017,0.8
2/28/2017,0.8
3/1/2017,0.81
3/2/2017,0.82
3/3/2017,0.82
3/4/2017,0.81
3/5/2017,0.81
3/6/2017,0.82
3/7/2017,0.82
3/8/2017,0.82
3/9/2017,0.82
3/10/2017,0.82
3/11/2017,0.82
3/12/2017,0.82
3/13/2017,0.82
3/14/2017,0.82
3/15/2017,0.82
3/16/2017,0.81
3/17/2017,0.81
3/18/2017,0.81
3/19/2017,0.81
3/20/2017,0.81
3/21/2017,0.8
3/22/2017,0.8
3/23/2017,0.8
3/24/2017,0.8
3/25/2017,0.8
3/26/2017,0.8
3/27/2017,0.8
3/28/2017,0.8
3/29/2017,0.81
3/30/2017,0.8
3/31/2017,0.8
4/2/2017,0.8
4/3/2017,0.8
4/4/2017,0.8
4/5/2017,0.8
4/6/2017,0.8
4/7/2017,0.81
4/8/2017,0.81
4/9/2017,0.81
4/10/2017,0.81
4/11/2017,0.8
4/12/2017,0.8
4/13/2017,0.8
4/14/2017,0.8
4/15/2017,0.8
4/16/2017,0.8
4/17/2017,0.79
4/18/2017,0.78
4/19/2017,0.78
4/20/2017,0.78
4/21/2017,0.78
4/22/2017,0.78
4/23/2017,0.78
4/24/2017,0.78
4/25/2017,0.78
4/26/2017,0.78
4/27/2017,0.78
4/28/2017,0.77
4/29/2017,0.77
4/30/2017,0.77
5/1/2017,0.77
5/2/2017,0.77
5/4/2017,0.77
5/5/2017,0.77
5/6/2017,0.77
5/7/2017,0.77
5/8/2017,0.77
5/9/2017,0.77
5/10/2017,0.77
5/11/2017,0.78
5/12/2017,0.78
5/13/2017,0.78
5/14/2017,0.78
5/15/2017,0.77
5/16/2017,0.77
5/17/2017,0.77
5/18/2017,0.77
5/20/2017,0.77
5/21/2017,0.77
5/22/2017,0.77
5/23/2017,0.77
5/24/2017,0.77
5/25/2017,0.77
5/26/2017,0.78
5/27/2017,0.78
5/28/2017,0.78
5/29/2017,0.78
5/30/2017,0.78
5/31/2017,0.78
6/1/2017,0.78
6/2/2017,0.78
6/3/2017,0.78
6/4/2017,0.78
6/5/2017,0.77
6/6/2017,0.78
6/7/2017,0.77
6/8/2017,0.77
6/9/2017,0.79
6/10/2017,0.78
6/11/2017,0.78
6/12/2017,0.79
6/13/2017,0.78
6/14/2017,0.78
6/15/2017,0.78
6/16/2017,0.78
6/17/2017,0.78
6/18/2017,0.78
6/19/2017,0.79
6/20/2017,0.79
6/21/2017,0.79
6/22/2017,0.79
6/23/2017,0.79
6/24/2017,0.79
6/25/2017,0.79
6/26/2017,0.79
6/27/2017,0.78
6/28/2017,0.77
6/29/2017,0.77
6/30/2017,0.77
7/1/2017,0.77
7/2/2017,0.77
7/3/2017,0.77
7/4/2017,0.77
7/5/2017,0.77
7/6/2017,0.77
7/7/2017,0.78
7/8/2017,0.78
7/9/2017,0.78
7/10/2017,0.78
7/11/2017,0.78
7/12/2017,0.78
7/13/2017,0.77
7/14/2017,0.76
7/15/2017,0.76
7/16/2017,0.76
7/17/2017,0.77
7/18/2017,0.77
7/19/2017,0.77
7/20/2017,0.77
7/21/2017,0.77
7/22/2017,0.77
7/23/2017,0.77
7/24/2017,0.77
7/25/2017,0.77
7/26/2017,0.77
7/27/2017,0.76
7/28/2017,0.76
7/29/2017,0.76
7/30/2017,0.76
7/31/2017,0.76
8/1/2017,0.76
8/2/2017,0.76
8/3/2017,0.76
8/4/2017,0.77
8/5/2017,0.77
8/6/2017,0.77
8/7/2017,0.77
8/8/2017,0.77
8/9/2017,0.77
8/10/2017,0.77
8/11/2017,0.77
8/12/2017,0.77
8/13/2017,0.77
8/14/2017,0.77
8/15/2017,0.78
8/16/2017,0.78
8/17/2017,0.78
8/18/2017,0.78
8/19/2017,0.78
8/20/2017,0.78
8/21/2017,0.77
8/23/2017,0.78
8/24/2017,0.78
8/25/2017,0.78
8/26/2017,0.78
8/27/2017,0.78
8/28/2017,0.77
8/29/2017,0.77
8/30/2017,0.77
8/31/2017,0.78
9/1/2017,0.77
9/2/2017,0.77
9/3/2017,0.77
9/4/2017,0.77
9/5/2017,0.77
9/6/2017,0.77
9/7/2017,0.77
9/8/2017,0.76
9/9/2017,0.76
9/10/2017,0.76
9/11/2017,0.76
9/12/2017,0.75
9/13/2017,0.76
9/14/2017,0.75
9/15/2017,0.74
9/16/2017,0.74
9/17/2017,0.74
9/18/2017,0.74
9/19/2017,0.74
9/20/2017,0.74
9/21/2017,0.74
9/22/2017,0.74
9/23/2017,0.74
9/24/2017,0.74
9/25/2017,0.74
9/26/2017,0.74
9/27/2017,0.75
9/28/2017,0.74
9/29/2017,0.75
9/30/2017,0.75
10/1/2017,0.75
10/2/2017,0.75
10/3/2017,0.76
10/4/2017,0.75
10/5/2017,0.76
10/6/2017,0.77
10/7/2017,0.77
10/8/2017,0.77
10/9/2017,0.76
10/10/2017,0.76
10/11/2017,0.76
10/12/2017,0.75
10/14/2017,0.75
10/15/2017,0.75
10/16/2017,0.75
10/17/2017,0.76
10/18/2017,0.76
10/19/2017,0.76
10/20/2017,0.76
10/21/2017,0.76
10/22/2017,0.76
10/23/2017,0.76
10/24/2017,0.76
10/25/2017,0.75
10/26/2017,0.76
10/27/2017,0.76
10/28/2017,0.76
10/29/2017,0.76
10/30/2017,0.76
10/31/2017,0.75
11/1/2017,0.75
11/2/2017,0.77
11/3/2017,0.76
11/4/2017,0.76
11/5/2017,0.76
11/6/2017,0.76
11/7/2017,0.76
11/8/2017,0.76
11/9/2017,0.76
11/10/2017,0.76
11/11/2017,0.76
11/12/2017,0.76
11/13/2017,0.76
11/14/2017,0.76
11/15/2017,0.76
11/16/2017,0.76
11/17/2017,0.76
11/18/2017,0.76
11/19/2017,0.76
11/20/2017,0.76
11/21/2017,0.76
11/22/2017,0.75
11/23/2017,0.75
11/24/2017,0.75
11/25/2017,0.75
11/26/2017,0.75
11/27/2017,0.75
11/28/2017,0.76
11/29/2017,0.74
11/30/2017,0.74
12/1/2017,0.74
12/2/2017,0.74
12/3/2017,0.74
12/4/2017,0.74
12/5/2017,0.74
12/6/2017,0.75
12/7/2017,0.74
12/8/2017,0.75
12/9/2017,0.75
12/11/2017,0.75
12/12/2017,0.75
12/13/2017,0.75
12/14/2017,0.74
12/15/2017,0.75
12/16/2017,0.75
12/17/2017,0.75
12/18/2017,0.75
12/19/2017,0.75
12/20/2017,0.75
12/21/2017,0.75
12/22/2017,0.75
12/23/2017,0.75
12/24/2017,0.75
12/25/2017,0.75
12/26/2017,0.75
12/27/2017,0.75
12/28/2017,0.74
12/29/2017,0.74
12/30/2017,0.74
12/31/2017,0.74
1/1/2018,0.74
1/2/2018,0.74
1/3/2018,0.74
1/4/2018,0.74
1/5/2018,0.74
1/6/2018,0.74
1/7/2018,0.74
1/8/2018,0.74
1/9/2018,0.74
1/10/2018,0.74
1/11/2018,0.74
1/12/2018,0.73
1/13/2018,0.73
1/14/2018,0.73
1/15/2018,0.72
1/16/2018,0.73
1/17/2018,0.72
1/18/2018,0.72
1/19/2018,0.72
1/20/2018,0.72
1/21/2018,0.72
1/22/2018,0.72
1/23/2018,0.72
1/24/2018,0.7
1/25/2018,0.7
1/26/2018,0.71
1/27/2018,0.71
1/28/2018,0.71
1/29/2018,0.71
1/30/2018,0.71
1/31/2018,0.7
2/1/2018,0.7
2/2/2018,0.71
2/3/2018,0.71
2/4/2018,0.71
2/5/2018,0.71
2/6/2018,0.72
2/7/2018,0.72
2/8/2018,0.72
2/9/2018,0.72
2/10/2018,0.72
2/11/2018,0.72
2/12/2018,0.72
2/13/2018,0.72
2/14/2018,0.72
2/15/2018,0.71
2/16/2018,0.71
2/17/2018,0.71
2/18/2018,0.71
2/19/2018,0.71
2/20/2018,0.71
2/21/2018,0.72
2/22/2018,0.72
2/23/2018,0.72
2/24/2018,0.72
2/25/2018,0.72
2/26/2018,0.72
2/27/2018,0.72
2/28/2018,0.73
3/1/2018,0.73
3/2/2018,0.73
3/3/2018,0.72
3/4/2018,0.72
3/5/2018,0.72
3/6/2018,0.72
3/7/2018,0.72
3/8/2018,0.72
3/9/2018,0.72
3/10/2018,0.72
3/11/2018,0.72
3/12/2018,0.72
3/13/2018,0.71
3/14/2018,0.72
3/15/2018,0.72
3/16/2018,0.72
3/17/2018,0.72
3/18/2018,0.72
3/19/2018,0.71
3/20/2018,0.71
3/21/2018,0.71
3/22/2018,0.71
3/23/2018,0.71
3/24/2018,0.71
3/25/2018,0.71
3/26/2018,0.7
3/27/2018,0.71
3/28/2018,0.71
3/29/2018,0.71
3/30/2018,0.71
4/1/2018,0.71
