DATE,VIX
1/3/2017,12.85
1/4/2017,11.85
1/5/2017,11.67
1/6/2017,11.32
1/9/2017,11.56
1/10/2017,11.49
1/11/2017,11.26
1/12/2017,11.54
1/13/2017,11.23
1/16/2017,.
1/17/2017,11.87
1/18/2017,12.48
1/19/2017,12.78
1/20/2017,11.54
1/23/2017,11.77
1/24/2017,11.07
1/25/2017,10.81
1/26/2017,10.63
1/27/2017,10.58
1/30/2017,11.88
1/31/2017,11.99
2/1/2017,11.81
2/2/2017,11.93
2/3/2017,10.97
2/6/2017,11.37
2/7/2017,11.29
2/8/2017,11.45
2/9/2017,10.88
2/10/2017,10.85
2/13/2017,11.07
2/14/2017,10.74
2/15/2017,11.97
2/16/2017,11.76
2/17/2017,11.49
2/20/2017,.
2/21/2017,11.57
2/22/2017,11.74
2/23/2017,11.71
2/24/2017,11.47
2/27/2017,12.09
2/28/2017,12.92
3/1/2017,12.54
3/2/2017,11.81
3/3/2017,10.96
3/6/2017,11.24
3/7/2017,11.45
3/8/2017,11.86
3/9/2017,12.3
3/10/2017,11.66
3/13/2017,11.35
3/14/2017,12.3
3/15/2017,11.63
3/16/2017,11.21
3/17/2017,11.28
3/20/2017,11.34
3/21/2017,12.47
3/22/2017,12.81
3/23/2017,13.12
3/24/2017,12.96
3/27/2017,12.5
3/28/2017,11.53
3/29/2017,11.42
3/30/2017,11.54
3/31/2017,12.37
4/3/2017,12.38
4/4/2017,11.79
4/5/2017,12.89
4/6/2017,12.39
4/7/2017,12.87
4/10/2017,14.05
4/11/2017,15.07
4/12/2017,15.77
4/13/2017,15.96
4/14/2017,.
4/17/2017,14.66
4/18/2017,14.42
4/19/2017,14.93
4/20/2017,14.15
4/21/2017,14.63
4/24/2017,10.84
4/25/2017,10.76
4/26/2017,10.85
4/27/2017,10.36
4/28/2017,10.82
5/1/2017,10.11
5/2/2017,10.59
5/3/2017,10.68
5/4/2017,10.46
5/5/2017,10.57
5/8/2017,9.77
5/9/2017,9.96
5/10/2017,10.21
5/11/2017,10.6
5/12/2017,10.4
5/15/2017,10.42
5/16/2017,10.65
5/17/2017,15.59
5/18/2017,14.66
5/19/2017,12.04
5/22/2017,10.93
5/23/2017,10.72
5/24/2017,10.02
5/25/2017,9.99
5/26/2017,9.81
5/29/2017,.
5/30/2017,10.38
5/31/2017,10.41
6/1/2017,9.89
6/2/2017,9.75
6/5/2017,10.07
6/6/2017,10.45
6/7/2017,10.39
6/8/2017,10.16
6/9/2017,10.7
6/12/2017,11.46
6/13/2017,10.42
6/14/2017,10.64
6/15/2017,10.9
6/16/2017,10.38
6/19/2017,10.37
6/20/2017,10.86
6/21/2017,10.75
6/22/2017,10.48
6/23/2017,10.02
6/26/2017,9.9
6/27/2017,11.06
6/28/2017,10.03
6/29/2017,11.44
6/30/2017,11.18
7/3/2017,11.22
7/4/2017,.
7/5/2017,11.07
7/6/2017,12.54
7/7/2017,11.19
7/10/2017,11.11
7/11/2017,10.89
7/12/2017,10.3
7/13/2017,9.9
7/14/2017,9.51
7/17/2017,9.82
7/18/2017,9.89
7/19/2017,9.79
7/20/2017,9.58
7/21/2017,9.36
7/24/2017,9.43
7/25/2017,9.43
7/26/2017,9.6
7/27/2017,10.11
7/28/2017,10.29
7/31/2017,10.26
8/1/2017,10.09
8/2/2017,10.28
8/3/2017,10.44
8/4/2017,10.03
8/7/2017,9.93
8/8/2017,10.96
8/9/2017,11.11
8/10/2017,16.04
8/11/2017,15.51
8/14/2017,12.33
8/15/2017,12.04
8/16/2017,11.74
8/17/2017,15.55
8/18/2017,14.26
8/21/2017,13.19
8/22/2017,11.35
8/23/2017,12.25
8/24/2017,12.23
8/25/2017,11.28
8/28/2017,11.32
8/29/2017,11.7
8/30/2017,11.22
8/31/2017,10.59
9/1/2017,10.13
9/4/2017,.
9/5/2017,12.23
9/6/2017,11.63
9/7/2017,11.55
9/8/2017,12.12
9/11/2017,10.73
9/12/2017,10.58
9/13/2017,10.5
9/14/2017,10.44
9/15/2017,10.17
9/18/2017,10.15
9/19/2017,10.18
9/20/2017,9.78
9/21/2017,9.67
9/22/2017,9.59
9/25/2017,10.21
9/26/2017,10.17
9/27/2017,9.87
9/28/2017,9.55
9/29/2017,9.51
10/2/2017,9.45
10/3/2017,9.51
10/4/2017,9.63
10/5/2017,9.19
10/6/2017,9.65
10/9/2017,10.33
10/10/2017,10.08
10/11/2017,9.85
10/12/2017,9.91
10/13/2017,9.61
10/16/2017,9.91
10/17/2017,10.31
10/18/2017,10.07
10/19/2017,10.05
10/20/2017,9.97
10/23/2017,11.07
10/24/2017,11.16
10/25/2017,11.23
10/26/2017,11.3
10/27/2017,9.8
10/30/2017,10.5
10/31/2017,10.18
11/1/2017,10.2
11/2/2017,9.93
11/3/2017,9.14
11/6/2017,9.4
11/7/2017,9.89
11/8/2017,9.78
11/9/2017,10.5
11/10/2017,11.29
11/13/2017,11.5
11/14/2017,11.59
11/15/2017,13.13
11/16/2017,11.76
11/17/2017,11.43
11/20/2017,10.65
11/21/2017,9.73
11/22/2017,9.88
11/23/2017,.
11/24/2017,9.67
11/27/2017,9.87
11/28/2017,10.03
11/29/2017,10.7
11/30/2017,11.28
12/1/2017,11.43
12/4/2017,11.68
12/5/2017,11.33
12/6/2017,11.02
12/7/2017,10.16
12/8/2017,9.58
12/11/2017,9.34
12/12/2017,9.92
12/13/2017,10.18
12/14/2017,10.49
12/15/2017,9.42
12/18/2017,9.53
12/19/2017,10.03
12/20/2017,9.72
12/21/2017,9.62
12/22/2017,9.9
12/25/2017,.
12/26/2017,10.25
12/27/2017,10.47
12/28/2017,10.18
12/29/2017,11.04
1/1/2018,.
1/2/2018,9.77
1/3/2018,9.15
1/4/2018,9.22
1/5/2018,9.22
1/8/2018,9.52
1/9/2018,10.08
1/10/2018,9.82
1/11/2018,9.88
1/12/2018,10.16
1/15/2018,.
1/16/2018,11.66
1/17/2018,11.91
1/18/2018,12.22
1/19/2018,11.27
1/22/2018,11.03
1/23/2018,11.1
1/24/2018,11.47
1/25/2018,11.58
1/26/2018,11.08
1/29/2018,13.84
1/30/2018,14.79
1/31/2018,13.54
2/1/2018,13.47
2/2/2018,17.31
2/5/2018,37.32
2/6/2018,29.98
2/7/2018,27.73
2/8/2018,33.46
2/9/2018,29.06
2/12/2018,25.61
2/13/2018,24.97
2/14/2018,19.26
2/15/2018,19.13
2/16/2018,19.46
2/19/2018,.
2/20/2018,20.6
2/21/2018,20.02
2/22/2018,18.72
2/23/2018,16.49
2/26/2018,15.8
2/27/2018,18.59
2/28/2018,19.85
3/1/2018,22.47
3/2/2018,19.59
3/5/2018,18.73
3/6/2018,18.36
3/7/2018,17.76
3/8/2018,16.54
3/9/2018,14.64
3/12/2018,15.78
3/13/2018,16.35
3/14/2018,17.23
3/15/2018,16.59
3/16/2018,15.8
3/19/2018,19.02
3/20/2018,18.2
3/21/2018,17.86
3/22/2018,23.34
3/23/2018,24.87
3/26/2018,21.03
3/27/2018,22.5
